Date,^FCHI,^FTSE,^GSPC
2021-01-04 00:00:00+00:00,5588.9599609375,6571.89990234375,3700.64990234375
2021-01-05 00:00:00+00:00,5564.60009765625,6612.2998046875,3726.860107421875
2021-01-06 00:00:00+00:00,5630.60009765625,6841.89990234375,3748.139892578125
2021-01-07 00:00:00+00:00,5669.85009765625,6857.0,3803.7900390625
2021-01-08 00:00:00+00:00,5706.8798828125,6873.2998046875,3824.679931640625
2021-01-11 00:00:00+00:00,5662.43017578125,6798.5,3799.610107421875
2021-01-12 00:00:00+00:00,5650.97021484375,6754.10009765625,3801.18994140625
2021-01-13 00:00:00+00:00,5662.669921875,6745.5,3809.840087890625
2021-01-14 00:00:00+00:00,5681.14013671875,6802.0,3795.5400390625
2021-01-15 00:00:00+00:00,5611.68994140625,6735.7001953125,3768.25
2021-01-19 00:00:00+00:00,5598.60986328125,6713.0,3798.909912109375
2021-01-20 00:00:00+00:00,5628.43994140625,6740.39990234375,3851.85009765625
2021-01-21 00:00:00+00:00,5590.7900390625,6715.39990234375,3853.070068359375
2021-01-22 00:00:00+00:00,5559.56982421875,6695.10009765625,3841.469970703125
2021-01-25 00:00:00+00:00,5472.35986328125,6638.89990234375,3855.360107421875
2021-01-26 00:00:00+00:00,5523.52001953125,6654.0,3849.6201171875
2021-01-27 00:00:00+00:00,5459.6201171875,6567.39990234375,3750.77001953125
2021-01-28 00:00:00+00:00,5510.52001953125,6526.2001953125,3787.3798828125
2021-01-29 00:00:00+00:00,5399.2099609375,6407.5,3714.239990234375
2021-02-01 00:00:00+00:00,5461.68017578125,6466.39990234375,3773.860107421875
2021-02-02 00:00:00+00:00,5563.10986328125,6516.7001953125,3826.31005859375
2021-02-03 00:00:00+00:00,5563.0498046875,6507.7998046875,3830.169921875
2021-02-04 00:00:00+00:00,5608.5400390625,6503.7001953125,3871.739990234375
2021-02-05 00:00:00+00:00,5659.259765625,6489.2998046875,3886.830078125
2021-02-08 00:00:00+00:00,5686.02978515625,6523.5,3915.590087890625
2021-02-09 00:00:00+00:00,5691.5400390625,6531.60009765625,3911.22998046875
2021-02-10 00:00:00+00:00,5670.7998046875,6524.39990234375,3909.8798828125
2021-02-11 00:00:00+00:00,5669.81982421875,6528.7001953125,3916.3798828125
2021-02-12 00:00:00+00:00,5703.669921875,6589.7998046875,3934.830078125
2021-02-16 00:00:00+00:00,5786.52978515625,6748.89990234375,3932.590087890625
2021-02-17 00:00:00+00:00,5765.83984375,6710.89990234375,3931.330078125
2021-02-18 00:00:00+00:00,5728.330078125,6617.2001953125,3913.969970703125
2021-02-19 00:00:00+00:00,5773.5498046875,6624.0,3906.7099609375
2021-02-22 00:00:00+00:00,5767.43994140625,6612.2001953125,3876.5
2021-02-23 00:00:00+00:00,5779.83984375,6625.89990234375,3881.3701171875
2021-02-24 00:00:00+00:00,5797.97998046875,6659.0,3925.429931640625
2021-02-25 00:00:00+00:00,5783.89013671875,6652.0,3829.340087890625
2021-02-26 00:00:00+00:00,5703.22021484375,6483.39990234375,3811.14990234375
2021-03-01 00:00:00+00:00,5792.7900390625,6588.5,3901.820068359375
2021-03-02 00:00:00+00:00,5809.72998046875,6613.7998046875,3870.2900390625
2021-03-03 00:00:00+00:00,5830.06005859375,6675.5,3819.719970703125
2021-03-04 00:00:00+00:00,5830.64990234375,6650.89990234375,3768.469970703125
2021-03-05 00:00:00+00:00,5782.64990234375,6630.5,3841.93994140625
2021-03-08 00:00:00+00:00,5902.990234375,6719.10009765625,3821.35009765625
2021-03-09 00:00:00+00:00,5924.97021484375,6730.2998046875,3875.43994140625
2021-03-10 00:00:00+00:00,5990.5498046875,6725.60009765625,3898.81005859375
2021-03-11 00:00:00+00:00,6033.759765625,6737.0,3939.340087890625
2021-03-12 00:00:00+00:00,6046.5498046875,6761.5,3943.340087890625
2021-03-15 00:00:00+00:00,6035.97021484375,6749.7001953125,3968.93994140625
2021-03-16 00:00:00+00:00,6055.43017578125,6803.60009765625,3962.7099609375
2021-03-17 00:00:00+00:00,6054.81982421875,6762.7001953125,3974.1201171875
2021-03-18 00:00:00+00:00,6062.7900390625,6779.7001953125,3915.4599609375
2021-03-19 00:00:00+00:00,5997.9599609375,6708.7001953125,3913.10009765625
2021-03-22 00:00:00+00:00,5968.47998046875,6726.10009765625,3940.590087890625
2021-03-23 00:00:00+00:00,5945.2998046875,6699.2001953125,3910.52001953125
2021-03-24 00:00:00+00:00,5947.2900390625,6712.89990234375,3889.139892578125
2021-03-25 00:00:00+00:00,5952.41015625,6674.7998046875,3909.52001953125
2021-03-26 00:00:00+00:00,5988.81005859375,6740.60009765625,3974.5400390625
2021-03-29 00:00:00+00:00,6015.509765625,6736.2001953125,3971.090087890625
2021-03-30 00:00:00+00:00,6088.0400390625,6772.10009765625,3958.550048828125
2021-03-31 00:00:00+00:00,6067.22998046875,6713.60009765625,3972.889892578125
2021-04-01 00:00:00+00:00,6102.9599609375,6737.2998046875,4019.8701171875
2021-04-05 00:00:00+00:00,6102.9599609375,6737.2998046875,4077.909912109375
2021-04-06 00:00:00+00:00,6131.33984375,6823.60009765625,4073.93994140625
2021-04-07 00:00:00+00:00,6130.66015625,6885.2998046875,4079.949951171875
2021-04-08 00:00:00+00:00,6165.72021484375,6942.2001953125,4097.169921875
2021-04-09 00:00:00+00:00,6169.41015625,6915.7998046875,4128.7998046875
2021-04-12 00:00:00+00:00,6161.68017578125,6889.10009765625,4127.990234375
2021-04-13 00:00:00+00:00,6184.10009765625,6890.5,4141.58984375
